{{SummonEntry| Atlasdam                    | Guard                          |  7 | Physical Boost         |           |  6 }}
{{SummonEntry| Cobbleston                  | Villager                       |  2 | Steel Defenses         |           |  9 }}
{{SummonEntry| Cobbleston                  | Philip's Mother                |  2 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Cobbleston                  | Watchman                       |  1 | Slice                  | Swords    |  9 }}
{{SummonEntry| Cobbleston                  | Villager                       |  6 | Slumber Arrow          | Bows      |  7 }}
{{SummonEntry| Cobbleston                  | Kindly Farmer                  |  3 | Healing Grape          |           |  8 }}
{{SummonEntry| Cobbleston                  | Cheerful Storyteller           |  3 | Pummel                 | Staves    |  8 }}
{{SummonEntry| Cobbleston                  | Gaston                         |  5 | Mighty Blow            | Swords    |  7 }}
{{SummonEntry| Duskbarrow                  | Ashlan's Father                |  4 | Full Swing             | Axes      |  8 }}
{{SummonEntry| Duskbarrow                  | Ashlan                         |  3 | Blinding Arrow         | Bows      |  8 }}
{{SummonEntry| Duskbarrow                  | Crest-bearing Swindler         |  6 | Crush and Grind        | Axes      |  7 }}
{{SummonEntry| Duskbarrow                  | Elderly Woman                  |  6 | Ignis Ardere           | Fire      |  7 }}
{{SummonEntry| Duskbarrow                  | Fearful Mother                 |  3 | Sweeping Slash         | Swords    |  8 }}
{{SummonEntry| Duskbarrow                  | Village Headman                |  7 | Inhibit Defense        |           |  6 }}
{{SummonEntry| Duskbarrow                  | Smirking Townsperson           |  3 | Improved Offense       |           |  8 }}
{{SummonEntry| Duskbarrow                  | Obliging Merchant              |  2 | Slice                  | Swords    |  9 }}
{{SummonEntry| Everhold Amphitheatre       | Usher                          |  6 | Blinding Slah          | Daggers   |  7 }}
{{SummonEntry| Everhold Amphitheatre       | Usher                          |  6 | Slow Motion            |           |  7 }}
{{SummonEntry| Everhold Amphitheatre       | Theater Manager                |  2 | Pummel                 | Staves    |  9 }}
{{SummonEntry| Everhold                    | Usher                          |  6 | Thrash                 | Polearms  |  7 }}
{{SummonEntry| Everhold                    | Noelle                         |  1 | Improved Offense       |           |  9 }}
{{SummonEntry| Everhold                    | Impresario                     |  7 | Peerless Strike        | Polearms  |  6 }}
{{SummonEntry| Everhold                    | Townsperson                    |  8 | Improved Offense       |           |  6 }}
{{SummonEntry| Everhold                    | Townsperson                    |  7 | Poison Arrow           | Bows      |  6 }}
{{SummonEntry| Everhold                    | Stage Carpenter                |  2 | Dagger Storm           | Daggers   |  9 }}
{{SummonEntry| Everhold                    | Townsperson                    |  2 | Fireball               | Fire      |  9 }}
{{SummonEntry| Everhold                    | Ardent Actor                   |  5 | Offense Down           |           |  7 }}
{{SummonEntry| Everhold                    | Usher                          |  7 | Steel Defenses         |           |  6 }}
{{SummonEntry| Everhold                    | Usher                          |  7 | Mental Degradation     |           |  6 }}
{{SummonEntry| Flamesgrace Cathedral       | Cleric                         |  4 | Mental Augmentation    |           |  8 }}
{{SummonEntry| Flamesgrace Cathedral       | Lianna                         |  3 | Restore Health         |           |  8 }}
{{SummonEntry| Flamesgrace Cathedral       | Mother                         |  1 | Inhibit Defense        |           |  9 }}
{{SummonEntry| Flamesgrace Cathedral       | Cleric                         |  1 | Prayer                 |           |  9 }}
{{SummonEntry| Flamesgrace Cathedral       | Cleric                         |  1 | Ice Storm              | Ice       |  9 }}
{{SummonEntry| Flamesgrace Cathedral       | Knight Ardante                 |  5 | Blinding Arrow         | Bows      |  7 }}
{{SummonEntry| Flamesgrace Cathedral       | Townsperson                    |  1 | Sweeping Slash         | Swords    |  9 }}
{{SummonEntry| Flamesgrace Cathedral       | Townsperson                    |  1 | Restore Health         |           |  9 }}
{{SummonEntry| Flamesgrace                 | Muttering Codger               | 10 | Crush and Grind        | Axes      |  4 }}
{{SummonEntry| Flamesgrace                 | Anxious Townswoman             |  1 | Slumber Slash          | Daggers   |  9 }}
{{SummonEntry| Flamesgrace                 | Drunken Soilder                |  5 | Noisome Breath         |           |  7 }}
{{SummonEntry| Flamesgrace                 | Diligent Student               |  1 | Ice Storm              | Ice       |  9 }}
{{SummonEntry| Flamesgrace                 | Tavern Patron                  |  1 | Summon Winds           | Wind      |  9 }}
{{SummonEntry| Flamesgrace                 | Cleric                         |  1 | Steel Defenses         |           |  9 }}
{{SummonEntry| Flamesgrace                 | Townsperson                    |  1 | Flurry                 | Bows      |  9 }}
{{SummonEntry| Flamesgrace                 | Miles                          |  4 | Improved Offense       |           |  8 }}
{{SummonEntry| Flamesgrace                 | Merchant                       |  1 | Sleepweed              |           |  9 }}
{{SummonEntry| Flamesgrace                 | Witness                        |  1 | Healing Grape          |           |  9 }}
{{SummonEntry| Flamesgrace                 | Knight Ardante                 |  3 | Sweep                  | Swords    |  8 }}
{{SummonEntry| Flamesgrace                 | Townsperson                    |  1 | Wisdom of the Church   |           |  9 }}
{{SummonEntry| Flamesgrace                 | Shivering Townsperson          |  1 | Panic Arrow            | Bows      |  9 }}
{{SummonEntry| Path to the Caves of Origin | Knight Ardante                 |  1 | Repeated Strike        | Swords    |  9 }}
{{SummonEntry| Path to the Caves of Origin | Knight Ardante                 |  1 | Prayer                 |           |  9 }}
{{SummonEntry| Captain's Bane              | Leviathan Hunter               |  9 | Inhibit Defense        |           |  5 }}
{{SummonEntry| Goldshore Manor District    | Townsperson                    |  1 | Cure Poison            |           |  9 }}
{{SummonEntry| Goldshore Manor District    | Knight Ardante                 |  6 | Brain Bash             | Axes      |  7 }}
{{SummonEntry| Goldshore Manor District    | Drevon                         |  2 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Goldshore Manor District    | Aristocrat                     |  2 | Awaken                 |           |  9 }}
{{SummonEntry| Goldshore Manor District    | Aristocrat                     |  4 | Lightning Storm        | Lightning |  8 }}
{{SummonEntry| Goldshore Manor District    | Unsavory Man                   |  5 | Shady Substance        |           |  7 }}
{{SummonEntry| Goldshore Manor District    | Old Man                        |  9 | Peerless Strike        | Polearms  |  5 }}
{{SummonEntry| Goldshore Manor District    | Merchantry Master              |  4 | Slumber Slash          | Daggers   |  8 }}
{{SummonEntry| Goldshore Manor District    | Erudite Graybeard              |  1 | Pummel                 | Staves    |  9 }}
{{SummonEntry| Goldshore Manor District    | Stonemonger                    |  2 | Slice                  | Swords    |  9 }}
{{SummonEntry| Goldshore Manor District    | Townsperson                    |  5 | Attacking Posture      |           |  7 }}
{{SummonEntry| Goldshore Manor District    | Fledgling Fisherman            |  4 | Befuddling Dust        |           |  8 }}
{{SummonEntry| Goldshore Cathedral         | Cleric                         |  5 | Deep Breath            |           |  7 }}
{{SummonEntry| Goldshore Cathedral         | Cleric                         |  1 | Prayer                 |           |  9 }}
{{SummonEntry| Goldshore                   | Elderly Woman                  |  5 | Blinding Arrow         | Bows      |  7 }}
{{SummonEntry| Goldshore                   | Marlene                        |  3 | Dump Flour             |           |  8 }}
{{SummonEntry| Goldshore                   | Old Man                        |  3 | Inhibit Offense        |           |  8 }}
{{SummonEntry| Goldshore                   | Fisherman's Sweetheart         |  1 | Dagger Storm           | Daggers   |  9 }}
{{SummonEntry| Goldshore                   | Troubled Merchant              |  3 | Panacea                |           |  8 }}
{{SummonEntry| Goldshore                   | Townsperson                    |  2 | Pointed Shot           | Bows      |  9 }}
{{SummonEntry| Goldshore                   | Crest-bearing Ruffian          |  6 | Crush and Grind        | Axes      |  7 }}
{{SummonEntry| Goldshore                   | Sailor                         |  4 | Exploit Weakness       | Polearms  |  8 }}
{{SummonEntry| Goldshore                   | Ship Captain                   |  6 | Improved Offense       |           |  6 }}
{{SummonEntry| West Grandport Coast        | Best-selling Author            |  4 | Exploit Weakness       | Daggers   |  8 }}
{{SummonEntry| Grandport Bazaar            | Barker                         |  3 | Critical Eye           |           |  8 }}
{{SummonEntry| Grandport Bazaar            | Merchant                       |  3 | Exploit Weakness       | Polearms  |  8 }}
{{SummonEntry| Grandport Bazaar            | Aristocrat                     |  2 | Inhibit Offense        |           |  9 }}
{{SummonEntry| Grandport Bazaar            | Guard                          |  9 | Attacking Posture      |           |  5 }}
{{SummonEntry| Grandport Bazaar            | Merchant                       |  7 | Peerless Strike        | Polearms  |  6 }}
{{SummonEntry| Grandport Markets           | Aston Wyndham                  |  6 | Fire Storm             | Fire      |  7 }}
{{SummonEntry| Grandport Markets           | Gill the Butler                |  9 | Double Spear           | Swords    |  5 }}
{{SummonEntry| Grandport Markets           | Ing The Diarist                |  3 | Hurl Diary             |           |  8 }}
{{SummonEntry| Grandport Markets           | Creepy Antiquarian             |  6 | Inhibit Offense        |           |  7 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  5 | Panic Arrow            | Bows      |  7 }}
{{SummonEntry| Grandport Markets           | Bazaar Shopper                 |  9 | Glacies Claudere       | Ice       |  6 }}
{{SummonEntry| Grandport Markets           | Master Jeweler                 |  4 | Defense Down           |           |  8 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  5 | Poison                 |           |  7 }}
{{SummonEntry| Grandport Markets           | Bazaar Shopper                 |  3 | Sweeping Slash         | Swords    |  8 }}
{{SummonEntry| Grandport Markets           | Bazaar Shopper                 |  5 | Physical Degradation   |           |  7 }}
{{SummonEntry| Grandport Markets           | Bazaar Shopper                 |  6 | Tonitrus Canere        | Lightning |  7 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  6 | Full Swing             | Axes      |  7 }}
{{SummonEntry| Grandport Markets           | Woman from Quaragosa           |  2 | Dagger Storm           | Daggers   |  9 }}
{{SummonEntry| Grandport Markets           | Lara                           |  1 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  8 | Steel Defenses         |           |  6 }}
{{SummonEntry| Grandport Markets           | Bazaar Shopper                 |  4 | Fire Storm             | Fire      |  8 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  2 | Head Bash              | Axes      |  9 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  4 | Cure Silence           |           |  8 }}
{{SummonEntry| Grandport Markets           | Bazaar Shopper                 |  2 | Exploit Weakness       | Polearms  |  9 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  4 | Physical Boost         |           |  8 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  4 | Full Recover           |           |  8 }}
{{SummonEntry| Grandport Markets           | Merchant                       |  2 | Stab                   | Polearms  |  9 }}
{{SummonEntry| Grandport Markets           | Wharf Thug                     |  7 | Brain Bash             | Axes      |  6 }}
{{SummonEntry| Grandport Markets           | Ship Captain                   |  7 | Brain Bash             | Axes      |  6 }}
{{SummonEntry| Grandport                   | Townsperson                    |  5 | Inhibit Defense        |           |  7 }}
{{SummonEntry| Grandport                   | Merchant                       |  3 | Befuddling Balm        |           |  8 }}
{{SummonEntry| Grandport                   | Elderly Woman                  |  3 | Lightning Storm        |           |  8 }}
{{SummonEntry| Grandport                   | Townsperson                    |  2 | Slice                  | Swords    |  9 }}
{{SummonEntry| Grandport                   | Merry Drunkard                 |  3 | Full Swing             | Axes      |  8 }}
{{SummonEntry| Grandport                   | Merchant                       |  2 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Grandport                   | Cleric                         |  6 | Exploit Weakness       | Polearms  |  7 }}
{{SummonEntry| Grandport                   | Merchant                       |  5 | Brain Bash             | Axes      |  7 }}
{{SummonEntry| Grandport                   | Townsperson                    |  5 | Steel Defenses         |           |  7 }}
{{SummonEntry| Grandport                   | Merchant                       |  4 | Sleepweed              |           |  8 }}
{{SummonEntry| Grandport                   | Bookworm Girl                  |  2 | Tome Tempest           |           |  9 }}
{{SummonEntry| Grandport                   | Passionate Peddler             |  3 | Poison                 |           |  8 }}
{{SummonEntry| Grandport                   | Bombastic Boy                  |  3 | Flurry                 | Bows      |  8 }}
{{SummonEntry| Grandport                   | Tavern Wench                   |  2 | Pointed Shot           | Bows      |  9 }}
{{SummonEntry| Marsalim Palace             | King Khalim                    |  5 | Mental Augmentation    |           |  7 }}
{{SummonEntry| Marsalim Palace             | Theater Manager                |  2 | Pummel                 | Staves    |  9 }}
{{SummonEntry| Marsalim Palace             | Minister                       |  3 | Mental Degradation     |           |  8 }}
{{SummonEntry| Marsalim Palace             | Guard                          |  6 | Inhibit Offense        |           |  7 }}
{{SummonEntry| Marsalim Palace             | Guard                          |  7 | Brain Bash             | Axes      |  6 }}
{{SummonEntry| Marsalim Palace             | Kindly Knight                  |  8 | Attacking Posture      |           |  6 }}
{{SummonEntry| Marsalim Palace             | Guard                          |  7 | Thrash                 | Polearms  |  6 }}
{{SummonEntry| Marsalim Palace             | Guard                          |  5 | Defensive Posture      |           |  7 }}
{{SummonEntry| Marsalim Palace             | Captain Raaf                   |  5 | Whirlwind Strike       | Polearms  |  7 }}
{{SummonEntry| Marsalim Palace             | General Lenaar                 |  8 | Baleful Blade          | Swords    |  6 }}
{{SummonEntry| Marsalim                    | Scholarly Youth                |  2 | Icewind                | Ice       |  9 }}
{{SummonEntry| Marsalim                    | Knight Ardante                 |  7 | Attacking Posture      |           |  6 }}
{{SummonEntry| Marsalim                    | Elderly Woman                  |  6 | Glacies Claudere       | Ice       |  7 }}
{{SummonEntry| Marsalim                    | Gloria                         |  2 | Steel Defenses         |           |  9 }}
{{SummonEntry| Marsalim                    | Townsperson                    |  9 | Physical Boost         |           |  5 }}
{{SummonEntry| Marsalim                    | Old Man                        |  6 | Ventus Saltare         | Wind      |  7 }}
{{SummonEntry| Marsalim                    | Knight Ardante                 |  6 | Inhibit Defense        |           |  7 }}
{{SummonEntry| Marsalim                    | Knight's Wife                  |  2 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Marsalim                    | Young Soldier                  |  6 | Thrash                 | Polearms  |  7 }}
{{SummonEntry| Marsalim                    | Swordsman Yuri                 | 10 | Stunning Strike        | Swords    |  4 }}
{{SummonEntry| Marsalim                    | Old Aristocrat                 |  1 | Pummel                 | Staves    |  9 }}
{{SummonEntry| Marsalim                    | Grieg the Unbreakable          |  5 | Steel Defenses         |           |  7 }}
{{SummonEntry| Marsalim                    | Townsperson                    |  2 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Marsalim                    | Maruf                          |  7 | Full Enfeeblement      |           |  6 }}
{{SummonEntry| Marsalim                    | Know-it-all Father             |  2 | Dagger Storm           | Daggers   |  9 }}
{{SummonEntry| Marsalim                    | Townsperson                    |  1 | Slice                  | Swords    |  9 }}
{{SummonEntry| East Noblecourt             | Awkward Boy                    |  3 | Dagger Storm           | Daggers   |  8 }}
{{SummonEntry| Noblecourt                  | Gatekeeper                     |  6 | Improved Offense       |           |  7 }}
{{SummonEntry| Noblecourt                  | Gatekeeper                     |  6 | Steel Defenses         |           |  7 }}
{{SummonEntry| Noblecourt                  | Old Man                        |  1 | Mighty Blow            | Staves    |  9 }}
{{SummonEntry| Noblecourt                  | Townsperson                    |  3 | Pointed Shot           | Bows      |  8 }}
{{SummonEntry| Noblecourt                  | Definitely Not Leon            |  5 | Speed Enhancement      |           |  7 }}
{{SummonEntry| Noblecourt                  | Townsperson                    |  3 | Dagger Storm           | Daggers   |  8 }}
{{SummonEntry| Noblecourt                  | Townsperson                    |  4 | Cure Blindness         |           |  8 }}
{{SummonEntry| Noblecourt                  | Affable Antiquarian            |  2 | Cure Silence           |           |  9 }}
{{SummonEntry| Noblecourt                  | Townsperson                    |  7 | Peerless Strike        | Polearms  |  6 }}
{{SummonEntry| Noblecourt                  | Accomplished Graybeard         |  5 | Posion                 |           |  7 }}
{{SummonEntry| Noblecourt                  | Barham                         |  6 | Tonitrus Canere        | Lightning |  7 }}
{{SummonEntry| Noblecourt                  | Orlick                         |  6 | Ignis Ardere           | Fire      |  7 }}
{{SummonEntry| Noblecourt                  | Mikk                           |  5 | Physical Boost         |           |  7 }}
{{SummonEntry| Noblecourt                  | Makk                           |  5 | Physical Degradation   |           |  7 }}
{{SummonEntry| East Noblecourt             | Junk Collector                 |  2 | Poison Slash           | Daggers   |  9 }}
{{SummonEntry| East Noblecourt             | Tavern Patron                  |  4 | Lightning Storm        | Lightning |  8 }}
{{SummonEntry| East Noblecourt             | Tavern Patron                  |  3 | Flurry                 | Bows      |  8 }}
{{SummonEntry| East Noblecourt             | Tavern Patron                  |  1 | Stab                   | Polearms  |  9 }}
{{SummonEntry| East Noblecourt             | Tavern Patron                  |  5 | More Health for All    |           |  7 }}
{{SummonEntry| East Noblecourt             | Townsperson                    |  3 | Exploit Weakness       | Polearms  |  8 }}
{{SummonEntry| East Noblecourt             | Revello                        |  3 | Fire Storm             | Fire      |  8 }}
{{SummonEntry| East Noblecourt             | Anna                           |  2 | Critical Eye           |           |  9 }}
{{SummonEntry| East Noblecourt             | Townsperson                    |  2 | Healing Grape (M)      |           |  9 }}
{{SummonEntry| East Noblecourt             | Luckless Sellsword             |  7 | Full Enfeeblement      |           |  6 }}
{{SummonEntry| East Noblecourt             | Conrad the Impaler             |  5 | Whirlwind Strike       | Polearms  |  7 }}
{{SummonEntry| East Noblecourt             | Old Gravekeeper                |  5 | Poison                 |           |  7 }}
{{SummonEntry| East Noblecourt             | Aspiring Actor                 |  4 | Exploit Weakness       | Polearms  |  8 }}
{{SummonEntry| East Noblecourt             | Melancholy Youth               |  2 | Exploit Weakness       | Polearms  |  9 }}
{{SummonEntry| East Noblecourt             | Boy's Mother                   |  1 | Slash                  | Daggers   |  9 }}
{{SummonEntry| East Noblecourt             | Townsperson                    |  2 | Blinding Dust          |           |  9 }}
{{SummonEntry| East Noblecourt             | Jan                            |  8 | Guillotine             | Swords    |  6 }}
{{SummonEntry| East Noblecourt             | Theracio                       |  3 | Wisdom of the Church   |           |  8 }}
{{SummonEntry| Northreach                  | Refined Merchant               |  3 | Thrash                 | Polearms  |  8 }}
{{SummonEntry| Northreach                  | Townsperson                    |  4 | Fire Storm             | Fire      |  8 }}
{{SummonEntry| Northreach                  | Ogen                           |  6 | Concoct Panacea        |           |  7 }}
{{SummonEntry| Northreach                  | Traveling Author               |  2 | Brush Toss             | Daggers   |  9 }}
{{SummonEntry| Northreach                  | Tavern Patron                  |  6 | Poison Slash           | Daggers   |  7 }}
{{SummonEntry| Northreach                  | Tavern Patron                  |  7 | Inhibit Defense        |           |  6 }}
{{SummonEntry| Northreach                  | Impoversihed Man               |  2 | Head Bash              | Axes      |  9 }}
{{SummonEntry| Northreach                  | Traveler                       |  4 | Steel Defenses         |           |  8 }}
{{SummonEntry| Northreach                  | Miles                          |  4 | Improved Offense       |           |  8 }}
{{SummonEntry| Northreach                  | Loyal Mercenary                |  6 | Defensive Posture      |           |  7 }}
{{SummonEntry| Northreach                  | Byron the Noble                |  4 | Mental Augmentation    |           |  8 }}
{{SummonEntry| Northreach                  | Joshua Frostblade              |  5 | Rhaspsody of Love      | Swords    |  7 }}
{{SummonEntry| Northreach                  | Angela                         |  2 | Slice                  | Swords    |  9 }}
{{SummonEntry| Northreach                  | Guard                          |  7 | Improved Offense       |           |  6 }}
{{SummonEntry| Northreach                  | Erudite Graybeard              |  5 | Mental Degradation     |           |  7 }}
{{SummonEntry| Northreach                  | Ogen                           |  6 | Concoct Panacea        |           |  7 }}
{{SummonEntry| South Orewell Pass          | Mysterious Knight              |  3 | Stab                   | Polearms  |  8 }}
{{SummonEntry| South Orewell Pass          | Proud Squire                   |  3 | High Thrust            | Swords    |  8 }}
{{SummonEntry| Orewell                     | Optimistic Merchant            |  3 | Blinding Dust          |           |  8 }}
